[0.010s] Invoking command in '/home/bartek/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/bartek/dev_ws/build/my_bot -- -j12 -l12
[0.047s] Invoked command in '/home/bartek/dev_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/bartek/dev_ws/build/my_bot -- -j12 -l12
[0.057s] Invoking command in '/home/bartek/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/bartek/dev_ws/build/my_bot
[0.064s] -- Install configuration: ""
[0.064s] -- Execute custom install script
[0.064s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.064s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/config/mapper_params_online_async.yaml
[0.064s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/config/my_controllers.yaml
[0.064s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/config/view_bot.rviz
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/description/camera.xacro
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/description/gazebo_control.xacro
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/description/lidar.xacro
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/description/robot_core.xacro
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/description/ros2_control.xacro
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/launch/launch_sim.launch.py
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/worlds/empty.world
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/worlds/obstacles.world
[0.065s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/environment/path.sh
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/environment/path.dsv
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/local_setup.bash
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/local_setup.sh
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/local_setup.zsh
[0.066s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/local_setup.dsv
[0.067s] -- Symlinking: /home/bartek/dev_ws/install/my_bot/share/my_bot/package.dsv
[0.077s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.077s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.077s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.077s] -- Up-to-date symlink: /home/bartek/dev_ws/install/my_bot/share/my_bot/package.xml
[0.079s] Invoked command in '/home/bartek/dev_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/bartek/dev_ws/build/my_bot
